timestamp,open,high,low,close,volume
2020-08-11 06:00:00,2.85,2.85,2.85,2.85,3.6
2020-08-11 06:01:00,2.85,2.85,2.85,2.85,0.0
2020-08-11 06:02:00,2.85,2.85,2.85,2.85,0.0
2020-08-11 06:03:00,3.4699,3.47,3.0003,3.0003,3410.31
2020-08-11 06:04:00,3.1852,3.1852,3.1852,3.1852,313.95
2020-08-11 06:05:00,3.1846,3.47,3.1846,3.47,1054.37
2020-08-11 06:06:00,3.215,3.215,3.189,3.2,892.21
2020-08-11 06:07:00,3.19,3.19,3.189,3.189,205.7
2020-08-11 06:08:00,3.1846,3.1846,3.1846,3.1846,130.71
2020-08-11 06:09:00,3.1846,3.1846,3.1846,3.1846,0.0
2020-08-11 06:10:00,3.1846,3.1846,3.1846,3.1846,0.0
2020-08-11 06:11:00,3.1846,3.1846,3.1846,3.1846,0.0
2020-08-11 06:12:00,3.1655,3.1655,3.1655,3.1655,3.17
2020-08-11 06:13:00,3.1655,3.1655,3.1655,3.1655,101.8
2020-08-11 06:14:00,3.1655,3.1655,3.1655,3.1655,0.0
2020-08-11 06:15:00,3.1655,3.1655,3.1655,3.1655,8.89
2020-08-11 06:16:00,3.3564,3.3564,3.1358,3.1358,199.04
2020-08-11 06:17:00,3.1358,3.1358,3.1358,3.1358,0.0
2020-08-11 06:18:00,3.1358,3.1358,3.1358,3.1358,0.0
2020-08-11 06:19:00,3.3564,3.3564,3.3564,3.3564,30.0
2020-08-11 06:20:00,3.1993,3.3564,3.18,3.18,1791.22
2020-08-11 06:21:00,3.1861,3.1861,3.1554,3.1554,278.59
2020-08-11 06:22:00,3.156,3.18,3.156,3.1561,217.76
2020-08-11 06:23:00,3.156,3.156,3.15,3.15,20.93
2020-08-11 06:24:00,3.15,3.15,3.15,3.15,0.0
2020-08-11 06:25:00,3.15,3.15,3.15,3.15,0.0
2020-08-11 06:26:00,3.15,3.15,3.15,3.15,0.0
2020-08-11 06:27:00,3.136,3.136,3.136,3.136,259.0
2020-08-11 06:28:00,3.136,3.136,3.136,3.136,7.68
2020-08-11 06:29:00,3.136,3.136,3.136,3.136,0.0
2020-08-11 06:30:00,3.136,3.136,3.136,3.136,13.0
2020-08-11 06:31:00,3.136,3.136,3.136,3.136,0.0
2020-08-11 06:32:00,3.0706,3.0706,3.055,3.055,3006.3
2020-08-11 06:33:00,3.0161,3.0161,3.0161,3.0161,37.94
2020-08-11 06:34:00,3.0052,3.0059,3.0003,3.0003,1362.54
2020-08-11 06:35:00,3.0002,3.0161,3.0,3.0161,1061.33
2020-08-11 06:36:00,2.998,2.998,2.992,2.998,1070.35
2020-08-11 06:37:00,2.98,2.9952,2.971,2.9952,1456.82
2020-08-11 06:38:00,2.9952,2.9952,2.9772,2.9772,38.13
2020-08-11 06:39:00,2.9949,2.9949,2.9949,2.9949,168.0
2020-08-11 06:40:00,2.9949,2.9949,2.9949,2.9949,0.0
2020-08-11 06:41:00,2.972,2.972,2.9054,2.9054,450.0
2020-08-11 06:42:00,3.0288,3.0288,3.0288,3.0288,335.77
2020-08-11 06:43:00,2.9665,2.9665,2.9665,2.9665,207.46
2020-08-11 06:44:00,2.9665,2.9665,2.9665,2.9665,0.0
2020-08-11 06:45:00,3.0033,3.0033,2.9712,2.9712,183.37
2020-08-11 06:46:00,2.9712,2.9712,2.9712,2.9712,0.0
2020-08-11 06:47:00,3.0032,3.0032,3.0032,3.0032,12.1
2020-08-11 06:48:00,3.0032,3.0032,3.0032,3.0032,0.0
2020-08-11 06:49:00,3.0032,3.0032,3.0032,3.0032,0.0
2020-08-11 06:50:00,2.9703,3.0032,2.9703,3.0032,192.72
2020-08-11 06:51:00,3.0032,3.0032,3.0032,3.0032,0.0
2020-08-11 06:52:00,3.0113,3.0113,3.0032,3.0032,197.2
2020-08-11 06:53:00,2.9707,3.0,2.9707,3.0,220.2
